start,end,weight,direction
"(1130, 190)","(1130, 321)",131,down
"(1312, 190)","(1312, 321)",131,down
"(315, 230)","(315, 321)",91,down
"(570, 230)","(570, 321)",91,down
"(685, 230)","(685, 321)",91,down
"(800, 230)","(800, 321)",91,down
"(929, 230)","(929, 321)",91,down
"(171, 321)","(315, 321)",144,right
"(315, 321)","(315, 230)",91,up
"(315, 321)","(171, 321)",144,left
"(315, 321)","(570, 321)",255,right
"(315, 321)","(315, 442)",121,down
"(570, 321)","(315, 321)",255,left
"(570, 321)","(570, 230)",91,up
"(570, 321)","(685, 321)",115,right
"(685, 321)","(570, 321)",115,left
"(685, 321)","(685, 230)",91,up
"(685, 321)","(800, 321)",115,right
"(800, 321)","(685, 321)",115,left
"(800, 321)","(800, 230)",91,up
"(800, 321)","(929, 321)",129,right
"(929, 321)","(800, 321)",129,left
"(929, 321)","(929, 230)",91,up
"(929, 321)","(1130, 321)",201,right
"(929, 321)","(929, 404)",83,down
"(1130, 321)","(929, 321)",201,left
"(1130, 321)","(1130, 190)",131,up
"(1130, 321)","(1312, 321)",182,right
"(1312, 321)","(1130, 321)",182,left
"(1312, 321)","(1312, 190)",131,up
"(1312, 321)","(1330, 321)",18,right
"(1330, 321)","(1312, 321)",18,left
"(1330, 321)","(1470, 321)",140,right
"(1330, 321)","(1330, 425)",104,down
"(1470, 321)","(1330, 321)",140,left
"(929, 404)","(929, 321)",83,up
"(1218, 425)","(1330, 425)",112,right
"(1330, 425)","(1218, 425)",112,left
"(1330, 425)","(1330, 321)",104,up
"(1330, 425)","(1330, 485)",60,down
"(171, 442)","(315, 442)",144,right
"(315, 442)","(171, 442)",144,left
"(315, 442)","(315, 321)",121,up
"(315, 442)","(315, 485)",43,down
"(171, 485)","(315, 485)",144,right
"(315, 485)","(171, 485)",144,left
"(315, 485)","(315, 442)",43,up
"(315, 485)","(315, 604)",119,down
"(1330, 485)","(1330, 425)",60,up
"(1330, 485)","(1470, 485)",140,right
"(1330, 485)","(1330, 670)",185,down
"(1470, 485)","(1330, 485)",140,left
"(171, 604)","(315, 604)",144,right
"(315, 604)","(171, 604)",144,left
"(315, 604)","(315, 485)",119,up
"(315, 604)","(315, 788)",184,down
"(1330, 670)","(1470, 670)",140,right
"(1330, 670)","(1330, 485)",185,up
"(1330, 670)","(1330, 788)",118,down
"(1470, 670)","(1330, 670)",140,left
"(171, 788)","(315, 788)",144,right
"(315, 788)","(171, 788)",144,left
"(315, 788)","(315, 604)",184,up
"(315, 788)","(315, 834)",46,down
"(1330, 788)","(1470, 788)",140,right
"(1330, 788)","(1330, 670)",118,up
"(1330, 788)","(1330, 834)",46,down
"(1470, 788)","(1330, 788)",140,left
"(171, 834)","(315, 834)",144,right
"(315, 834)","(171, 834)",144,left
"(315, 834)","(315, 788)",46,up
"(315, 834)","(315, 953)",119,down
"(1330, 834)","(1470, 834)",140,right
"(1330, 834)","(1330, 788)",46,up
"(1330, 834)","(1330, 905)",71,down
"(1470, 834)","(1330, 834)",140,left
"(1218, 905)","(1330, 905)",112,right
"(1330, 905)","(1218, 905)",112,left
"(1330, 905)","(1330, 834)",71,up
"(1330, 905)","(1330, 953)",48,down
"(171, 953)","(315, 953)",144,right
"(315, 953)","(171, 953)",144,left
"(315, 953)","(315, 834)",119,up
