Row,Column,,,,,,,,,
190,1130,1312,,,,,,,,
230,315,570,685,800,929,,,,,
321,171,315,570,685,800,929,1130,1312,1330,1470
404,929,,,,,,,,,
425,1218,1330,,,,,,,,
442,171,315,,,,,,,,
485,171,315,1330,1470,,,,,,
604,171,315,,,,,,,,
670,1330,1470,,,,,,,,
788,171,315,1330,1470,,,,,,
834,171,315,1330,1470,,,,,,
905,1218,1330,,,,,,,,
953,171,315,1218,1330,1470,,,,,
1071,171,315,,,,,,,,
1140,1330,1470,,,,,,,,
1186,1330,1470,,,,,,,,
1256,171,315,,,,,,,,
1300,1330,1470,,,,,,,,
1420,1330,1470,,,,,,,,
1461,150,315,780,1330,,,,,,
1520,1330,1470,,,,,,,,
1600,1470,,,,,,,,,
1679,315,220,510,780,,,,,,
2000,150,315,,,,,,,,
